Material,Thermal Conductivity (W/m*K),Thermal Diffusivity (mm2/s),Specific Heat Capacity (J/kg*K),Volumetric Specific Heat (MJ/m³K),Thermal Effusivity (Ws0.5/(m2K)),Material Density (kg/m3),Durability (d),Price (c) ($/m^3)
steel alloy and mild (4130  4340),41.84,10.8,502,3.891,12760.0,7750.0,45.19525,11.9157715
potassium bromide (KBr 75  KCl 25),2.092,1.72,477,1.216,1595.0,2550.0,54.358032,54.67505
arsenic telluride (As2Te3) (v zone mlt),2.594,1.85,234,1.404,1910.0,6000.0,54.745667,60.56909
cellulose acetate (low k),0.167,0.09,1464,1.903,564.0,1300.0,46.91931,65.87109
iron ductile (Mg containing),33.054,9.98,460,3.312,10465.0,7200.0,49.028748,23.750854
silicone foam  flexible (lrl),0.167,0.5,1339,0.335,237.0,250.0,52.702393,45.07373
titanium carbide + co (Co18 NbC TaC15),31.38,10.5,544,2.992,9689.0,5500.0,52.34149,29.135986
rubidium chloride (RbCl),2.092,1.73,431,1.207,1589.0,2800.0,53.908997,55.171265
diallyl phthalate (dapon),0.305,0.16,1130,1.865,755.0,1650.0,47.549683,64.546265
nickel alloy d and e,44.769,11.1,460,4.048,13465.0,8800.0,41.476257,9.615723
magnesium alloy (Mg Ag2.5 Ce2 Zr0.6),112.97,64.5,962,1.751,14066.0,1820.0,64.05591,62.93347
nickel alloy inconel 700,12.552,3.34,460,3.758,6870.0,8170.0,51.360474,42.8468
nickel alloy a (Ni99.4) (annealed),66.944,17.1,439,3.903,16169.0,8890.0,34.717896,20.722778
copper sulfate hydrate (CuSO4.5H2O),2.259,0.84,1172,2.677,2459.0,2284.0,41.168457,71.19055
silicon carbide (SiC) (nitride bonded),41.84,23.2,678,1.803,8685.0,2660.0,87.13611,52.558838
magnesium alloy hm21a(o h24) (wrought),138.07,75.7,1025,1.825,15872.0,1780.0,65.0611,66.26636
ethanol  (25 °C),0.1635,0.085538,2435,1.911,48.0,785.13,55.94684,62.167236
magnesium sulfate (MgSO4) (crystal),2.51,0.75,1255,3.338,2895.0,2660.0,32.47162,79.77783
nickel alloy monel  kr (annealed),18.828,5.07,439,3.71,8360.0,8450.0,47.583435,32.46045
magnesite brick (MgO 87),3.849,1.82,837,2.118,2855.0,2530.0,51.071167,63.30945
steel stainless (Cr 12-13 Ni 0-3),23.43,7.01,431,3.34,8847.0,7750.0,46.381836,30.759521
magnesium alloy magnox a12(x) (wrought),117.15,65.3,1025,1.794,14496.0,1750.0,64.124084,64.66443
cesium (liquid),25.104,54.4,251,0.462,3405.0,1840.0,62.96466,38.001465
diatomaceous earth brick (use to 850c),0.092,0.26,795,0.35,179.0,440.0,52.5448,43.755005
zirconium oxide (Y2O3 12  Zr 8) (97 d),2.469,1.02,439,2.415,2442.0,5500.0,52.84088,67.8186
strontium,83.68,107.0,301,0.783,8095.0,2600.0,56.01758,29.89795
chrome alum (Cr2(SO4)3.K2SO4.24H2O),2.092,0.86,1339,2.445,2262.0,1826.0,43.987183,68.731445
plutonium alloy (delta phase),7.071,3.35,134,2.111,3862.0,15750.0,59.30963,32.187256
diatomaceous earth brick (high burn),0.226,0.48,795,0.469,326.0,590.0,52.70984,45.13672
iron grey cast pearlitic (2.3-3.0 c),41.84,12.6,460,3.307,11766.0,7190.0,47.76648,21.064087
nickel alloy monel r (hot-rolled),25.941,6.68,439,3.881,10037.0,8840.0,46.185486,23.542969
niobium alloy (Nb80 W15 Mo5),50.208,21.2,247,2.371,10909.0,9600.0,34.102783,44.33252
lithium,71.128,38.2,3515,1.863,11511.0,530.0,46.263733,48.2041
titanium alloy hylite 65 (imi),7.531,3.08,523,2.448,4293.0,4680.0,70.76721,60.44104
fluorine (gas),0.026,19.1,816,0.001,6.0,1.696,51.666016,36.40271
zirconium hydride (ZrH + ZrH2),18.41,9.44,310,1.953,5992.0,6300.0,72.41516,54.922974
silicon,125.52,76.6,703,1.638,14338.0,2330.0,64.66766,60.356934
calcium carbonate - calcite (CaCO3) (a axis),3.849,1.7,837,2.268,2955.0,2710.0,50.44879,64.8645
nickel alloy monel k (annealed),17.74,4.91,427,3.615,8006.0,8465.0,46.8208,34.224243
ethylene glycol 30%,0.484,0.12,3714,3.851,1365.0,1037.0,37.428345,81.80298
aluminum alloy (Al84.0 average trtmt),125.52,52.9,879,2.373,17256.0,2700.0,62.0166,64.75757
barium sulfate (BaSO4) (crystal),1.674,0.56,669,3.011,2245.0,4500.0,45.943176,68.152954
concrete stone (1-2-4 mix),1.046,0.69,657,1.511,1257.0,2300.0,53.99585,57.495605
lithium fluoride (LiF 96) (plastic bnd),10.042,2.5,1632,4.015,6349.0,2460.0,21.046387,84.069824
abs resin (low k),0.138,0.09,1506,1.566,465.0,1040.0,50.177185,61.58423
steatite - magnesium silicate (MgO.SiO2) (commercial grades),3.347,1.33,837,2.511,2899.0,3000.0,47.269653,66.40198
silicone foam rigid various,0.084,0.21,1339,0.402,183.0,300.0,52.787903,45.789185
magnesium alloy m1a (wrought),131.8,73.1,1025,1.804,15420.0,1760.0,64.95892,66.215576
magnesium alloy hz32a(ac) zt1 (casting),104.6,55.8,1025,1.876,14007.0,1830.0,62.904175,64.04541
potassium (liquid),62.342,92.7,820,0.672,6475.0,820.0,53.97888,30.724731
brass  leaded,117.15,36.6,377,3.205,19365.0,8500.0,41.303894,50.4209
potassium bromide (KBr 75  KCl 25),2.092,1.72,477,1.216,1595.0,2550.0,54.358032,54.67505
pyroceram 9608 (glass ceramic),2.05,1.02,808,2.02,2034.0,2500.0,49.863403,63.976074
rubber  high k,0.293,0.13,2092,2.301,821.0,1100.0,51.88867,63.515503
benzene (25 °C),0.14127,0.093269,1734,1.515,43.0,873.66,51.52832,61.78296
kyanite - aluminum silicate (Al2O3.SiO2) (tricl crystal),17.322,6.16,770,2.811,6977.0,3650.0,68.83362,58.46289
silicon carbide (SiC) (slf bnd he atm),167.36,79.7,678,2.102,18752.0,3100.0,64.958496,66.215454
mock h.e. 90010 (pbx-9404 mech mock),0.532,0.24,1255,2.234,1090.0,1780.0,44.232605,68.32007
berkelium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
tin oxide (SnO2) (93-95 pc dense),31.38,16.5,343,1.907,7737.0,5560.0,93.26599,57.78711
uranium carbide (UC) (sintered 90d),17.364,6.96,203,2.497,6583.0,12300.0,33.9588,37.524048
nickel alloy duranickel (and -r) (soft),18.41,5.12,435,3.593,8134.0,8260.0,47.40808,33.302734
tungsten alloy (W90 Ni6 Cu2-4),77.404,34.6,134,2.238,13156.0,16700.0,38.36322,57.363525
tantalum alloy (Ta99.5 Nb0.5),45.187,19.8,138,2.277,10147.0,16500.0,36.169373,45.858276
nitrile rubber,0.243,0.12,1966,1.966,691.0,1000.0,51.058105,63.700073
niobium alloy (Nb95 Ta5),44.769,19.8,251,2.259,10056.0,9000.0,36.78235,44.035034
uranium oxide + zr (UO2 43 Zr 57)(59 p),13.389,12.9,259,1.036,3727.0,4000.0,69.922424,58.557007
lithium manganese selenide (97mn.3li.-),2.803,1.32,385,2.118,2436.0,5500.0,57.86737,80.6698
norway pine wood (across grain),0.151,0.12,2301,1.266,437.0,550.0,54.60089,60.96167
manganese telluride (99mnte.nate),1.841,0.8,402,2.291,2053.0,5700.0,56.573486,71.12744
cadmium,92.048,46.3,230,1.99,13535.0,8650.0,57.660156,61.19458
aluminum alloy (Al96.0 average trtmt),167.36,70.6,879,2.373,19925.0,2700.0,63.226196,65.35693
steel stainless 19-9dl,13.389,3.42,502,3.916,7241.0,7800.0,51.640686,44.04895
iron ductile,28.87,8.71,460,3.312,9781.0,7200.0,48.90625,25.837646
beryllium alloy (Be96.5) (annealed),175.73,53.1,1799,3.31,24118.0,1840.0,54.616272,61.090576
soil clay (wet),1.506,0.34,2929,4.394,2572.0,1500.0,42.315674,81.548706
cesium (liquid),25.104,54.4,251,0.462,3405.0,1840.0,62.96466,38.001465
einsteinium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
gypsum - calcium sulfate dihydrate (CaSO4.4H2O),1.297,0.51,1088,2.524,1809.0,2320.0,42.670654,70.20276
tantalum nitride (tan),7.95,2.7,205,2.944,4838.0,14360.0,41.139587,34.389893
fluorocarbons cfe and ctfe,0.251,0.13,921,1.953,700.0,2120.0,46.836792,65.75757
uranium oxide + zr (UO2 43 Zr 57)(59 p),13.389,12.9,259,1.036,3727.0,4000.0,69.922424,58.557007
zirconium nitride (ZrN) (pr sr 88-90 d),10.46,4.18,385,2.503,5116.0,6500.0,55.66693,61.232056
n-dodecane (25 °C),0.1353,0.082013,2212,1.65,39.0,746.0,54.616272,61.090576
zirconium nitride (ZrN) (pr sr 88-90 d),10.46,4.18,385,2.503,5116.0,6500.0,55.66693,61.232056
silicone foam rigid various,0.084,0.21,1339,0.402,183.0,300.0,52.787903,45.789185
zirconium,31.38,17.0,285,1.853,7618.0,6500.0,78.772095,60.382935
titanium carbide cermet k161b,23.43,6.22,628,3.768,9393.0,6000.0,42.736633,37.08203
tantalum carbide (TaC),22.175,8.32,190,2.66,7688.0,14000.0,28.38562,36.83972
nickel alloy incoloy 901,13.389,3.89,418,3.44,6790.0,8230.0,47.1131,41.507324
sodium bromide (NaBr),2.51,1.54,510,1.634,2026.0,3203.0,55.435608,58.84375
boron nitride (Bn 97 Bn2O3 2) (perp p),28.87,17.3,795,1.67,6943.0,2100.0,76.80676,52.392944
uranium beryllide (UBe13) (sntrd 61d),20.92,9.26,837,2.26,6875.0,2700.0,71.680664,47.30188
mock h.e. 90010 (pbx-9404 mech mock),0.532,0.24,1255,2.234,1090.0,1780.0,44.232605,68.32007
tin telluride (snte 60  agsbte2 40),1.778,1.31,209,1.359,1555.0,6500.0,55.1687,61.873413
n-hexane  (25 °C),0.12002,0.08065,2273,1.488,34.0,655.0,54.616272,61.090576
lead antimonial (Pb Sb 8-9),26.987,18.8,134,1.434,6218.0,10700.0,59.709717,63.04431
sapphire - aluminum oxide (Al2O3) (polyxtal 100 d),38.493,12.4,778,3.096,10919.0,3980.0,53.18048,33.921753
tnt h.e. (2 4 6-trinitrotoluene) (cast),0.26,0.12,1372,2.127,744.0,1550.0,45.208435,67.64551
phenol-formaldehyde + phenol-furfural,0.209,0.1,1674,2.143,670.0,1280.0,47.257874,66.48718
uranium oxide + st steel (UO2 70 vol),7.95,2.38,335,3.35,5158.0,10000.0,36.85614,52.46106
uranium alloy (U90  FS10),15.062,6.54,134,2.305,5890.0,17200.0,46.959167,34.518433
nickel alloy inconel w,14.728,4.03,439,3.648,7333.0,8310.0,49.00891,38.58618
uranium alloy (U94.4 Cr5.6) (eutectic),28.451,13.9,111,2.054,7626.0,18500.0,48.507812,42.129883
silicon carbide (SiC) (rextal 80-100d),51.882,26.4,678,1.966,10099.0,2900.0,91.93402,50.15332
phenolic cast no filler,0.167,0.09,1464,1.918,567.0,1310.0,46.788147,66.05701
hard fired silica brick (SiO2 94-95),1.674,1.24,753,1.355,1506.0,1800.0,55.453857,53.983887
diatomaceous earth brick (high burn),0.226,0.48,795,0.469,326.0,590.0,52.70984,45.13672
epoxy der 332 (c) hysol 6000-op (k),0.195,0.14,1172,1.418,525.0,1210.0,51.75049,57.823242
neon (gas),0.049,52.4,1029,0.001,7.0,0.8999,51.10852,31.738525
cork ground,0.043,0.14,2008,0.301,114.0,150.0,53.213318,49.350098
silicone rubber high k,0.753,0.46,1255,1.632,1108.0,1300.0,50.04547,61.19507
silicon carbide (SiC) (brick Al2O3 1.7),11.715,6.89,678,1.702,4464.0,2510.0,66.67615,54.09424
beryllium,184.1,54.1,1841,3.402,25027.0,1848.0,54.616272,61.090576
cobalt alloy hs-30 (422-19) (as cast),12.552,3.61,418,3.474,6606.0,8310.0,47.875427,42.69409
potassium bromide (KBr) (single xtal),4.812,4.02,435,1.196,2399.0,2750.0,57.45819,54.687866
titanium alloy (Ti Bal Al4 V2 Mo1),8.368,3.42,544,2.448,4526.0,4500.0,72.90442,59.190674
potassium fluoride (KG|F),7.113,3.33,862,2.138,3899.0,2480.0,54.415955,61.531616
silicone rubber low k,0.138,0.08,1255,1.632,475.0,1300.0,49.41101,61.747925
teak wood (across grain),0.142,0.12,2301,1.243,420.0,540.0,54.58264,60.808594
spinel (MgO.Al2O3) (single crystal),14.226,4.87,812,2.923,6447.0,3600.0,60.30139,69.12634
magnesium alloy a3a (wrought),108.78,60.0,1025,1.814,14048.0,1770.0,63.356567,63.713745
uranium silicide (U3Si),16.736,6.17,176,2.719,6740.0,15450.0,32.766663,34.230225
bromine (gas),0.005,2.59,234,0.002,3.0,7.59,51.926758,38.58423
nickel alloy nimonic 95,11.255,3.03,460,3.708,6461.0,8060.0,51.507263,45.445557
cadmium,92.048,46.3,230,1.99,13535.0,8650.0,57.660156,61.19458
cadmium,92.048,46.3,230,1.99,13535.0,8650.0,57.660156,61.19458
cobalt alloy hs-21 (aged),32.635,9.3,423,3.511,10699.0,8300.0,44.443115,21.618164
mock h.e. lm-04-0 h4-048-a294-3,1.004,0.61,962,1.635,1282.0,1700.0,50.694763,60.74463
orthoclase (K2O.Al2O3.6SiO2) (crystal),4.184,1.28,1255,3.263,3695.0,2600.0,27.973938,81.8772
n-hexadecane (cetane)  (25 °C),0.14385,0.08444,2212,1.703,42.0,770.0,54.568115,61.125854
iron (-273 to 763 deg c),71.965,20.4,448,3.526,15924.0,7870.0,36.135498,29.592651
alumina brick fused (Al2O3 96) (22 p),3.096,1.42,753,2.184,2600.0,2900.0,50.48578,64.1532
epoxy unfilled cast,0.188,0.15,1046,1.255,486.0,1200.0,53.54608,54.50049
titanium alloy (Ti Bal Al4 Cu2 Zr2),9.205,3.76,544,2.448,4746.0,4500.0,74.776855,58.700317
magnesium alloy az92a(ac) (casting),54.392,29.1,1025,1.871,10087.0,1825.0,64.81061,53.66687
soil sandy dry,0.264,0.2,795,1.312,588.0,1650.0,53.45685,55.00525
manganese telluride (99mnte.nate),1.841,0.8,402,2.291,2053.0,5700.0,56.573486,71.12744
pyroceram 9606 (ceramic glass),3.975,1.95,782,2.033,2844.0,2600.0,52.367554,62.414917
kaolin brick,0.084,0.36,774,0.232,139.0,300.0,52.37451,42.330322
polycarbonate various fillers,0.192,0.09,1674,2.26,660.0,1350.0,47.237366,66.50232
tetradecafluorohexane,0.057,0.0308,1100,1.848,324.8,1680.0,47.319702,64.82837
titanium alloy (Ti Bal  Al6  V4),7.113,3.06,523,2.327,4069.0,4450.0,71.13989,60.315674
titanium oxide (TiOS2) (rutile  100 d),8.954,3.07,686,2.916,5110.0,4250.0,54.89026,73.31677
lead antimonial (Pb Sb 4-6) (hard),29.706,20.2,134,1.469,6603.0,10960.0,59.83313,63.036743
vanadium boride (vb2),56.902,17.0,661,3.351,13810.0,5070.0,40.255676,23.083862
zinc (liquid),59.413,17.4,502,3.414,14243.0,6800.0,41.886047,19.998657
boron,2.092,0.74,1130,2.825,2431.0,2500.0,39.54193,72.12256
magnesium alloy magnox a12(x) (wrought),117.15,65.3,1025,1.794,14496.0,1750.0,64.124084,64.66443
tantalum nitride (tan),7.95,2.7,205,2.944,4838.0,14360.0,41.139587,34.389893
germanium (n-type),58.576,34.1,322,1.715,10025.0,5325.0,95.3692,57.72168
copper sulfate hydrate (CuSO4.5H2O),2.259,0.84,1172,2.677,2459.0,2284.0,41.168457,71.19055
kaolin brick,0.251,0.75,774,0.333,289.0,430.0,52.51068,43.46985
strontium sulfate (SrSO4) (crystal),1.799,0.78,586,2.321,2043.0,3960.0,44.884766,63.82556
titanium beryllide (tibe12) (hp 95d),23.849,7.62,1423,3.131,8641.0,2200.0,14.229797,77.92651
protactinium,12.552,7.11,115,1.771,4707.0,15400.0,58.60797,37.21106
silicon carbide (SiC) (powder in air),0.251,0.23,678,1.075,519.0,1585.0,53.549683,52.164307
titanium alloy hylite 40,7.531,3.06,544,2.459,4303.0,4520.0,70.690186,59.529785
magnesium alloy zty(x) (hk11) (wrought),121.34,71.6,962,1.693,14336.0,1760.0,64.52167,62.864258
titanium carbide + co (TiC 80 Co 20),35.564,12.1,544,2.948,10239.0,5420.0,52.341003,28.72461
uranium nitride (UN) (hp  95-98 dense),13.807,5.31,188,2.594,5990.0,13800.0,36.66931,35.076416
polyvinyl tpx-r,0.167,0.09,2176,1.806,550.0,830.0,53.89801,61.61731
torlon (PAI),0.54,0.381,970,1.416,875.0,1460.0,52.438354,57.181152
vegetable oil,0.15,0.0833,2000,1.8,519.7,900.0,51.978516,63.025146
tungsten carbide cermet k801 (WC + Ni),82.006,26.5,209,3.093,15934.0,14800.0,20.586914,52.042236
acetal resin (delrin),0.23,0.11,1464,2.079,692.0,1420.0,45.826904,67.461914
steel alloy and mild (4130  4340),41.84,10.8,502,3.891,12760.0,7750.0,45.19525,11.9157715
potassium chloride (KCl 75  KBr 25),3.305,2.56,598,1.292,2067.0,2160.0,56.326538,53.21228
titanium alloy hylite 60 (imi),7.531,3.1,523,2.432,4280.0,4650.0,70.78302,60.485962
potassium chloride (KCl 50),7.113,4.46,770,1.594,3367.0,2070.0,59.499084,53.13208
fiberfax paper,0.03,0.13,732,0.237,84.0,324.0,52.377625,42.3562
promethium,12.552,9.26,188,1.354,4125.0,7200.0,59.979675,62.13208
magnesium alloy az91a b (dc) (casting),54.392,29.3,1025,1.855,10045.0,1810.0,64.92053,53.550903
plutonium,8.201,3.19,134,2.573,4592.0,19200.0,53.23047,29.882324
niobium carbide (NbC),33.472,12.4,356,2.706,9511.0,7600.0,38.778748,43.32605
potassium bromide (KBr 50),2.51,2.0,531,1.253,1774.0,2360.0,55.31842,54.040527
sulfur,0.276,0.19,711,1.422,627.0,2000.0,52.60199,57.133667
barium nitrate (Ba(NO3)2) (prsd 8 k8),1.297,0.46,879,2.848,1921.0,3240.0,37.065857,70.7688
titanium alloy hylite 51 (imi551),6.694,2.78,523,2.406,4013.0,4600.0,68.96301,61.13037
cerium,10.878,8.32,193,1.31,3771.0,6790.0,60.14691,61.656372
lx-04 h.e. (hmx 85  viton a 15),0.448,0.23,1023,1.913,925.0,1870.0,47.174988,65.23889
lead telluride (pbte) (single crystal),2.092,1.7,151,1.232,1603.0,8160.0,55.424133,61.61206
tungsten oxide (Wo3) (polyxtal. porous),25.104,11.3,310,2.22,7460.0,7160.0,48.901855,50.00354
tantalum beryllide (TaBe12) (hp),41.84,13.2,774,3.173,11523.0,4100.0,48.533264,30.890503
yttrium boride (YB6) (98.4 pc dense),29.288,13.0,628,2.261,8135.0,3600.0,100.0,42.038452
titanium alloy hylite 51 (imi551),6.694,2.78,523,2.406,4013.0,4600.0,68.96301,61.13037
limestone (H2O 15.3),0.92,0.61,921,1.52,1182.0,1650.0,51.82367,58.704712
mica (single crystal) (a or b axes),4.184,1.79,837,2.344,3131.0,2800.0,50.46338,65.2771
magnesium alloy hk31a(h24) (casting),112.97,61.6,1025,1.835,14397.0,1790.0,63.708252,64.68396
copper alloy nickel silver (Ni 10-20),33.472,10.1,377,3.318,10532.0,8800.0,39.40039,28.361938
sulfuric acid,0.5,0.1941,1400,2.576,1134.9,1840.0,43.944702,68.74707
potassium chloride (KCl 90  KBr 10),5.021,3.78,649,1.33,2584.0,2050.0,57.46942,52.19458
porcelain ordinary,2.092,0.82,753,2.56,2314.0,3400.0,42.199707,66.715576
fireclay brick (22 p),1.297,0.9,732,1.449,1371.0,1980.0,54.612305,55.882202
titanium oxide (TiOS2) (rutile  100 d),8.954,3.07,686,2.916,5110.0,4250.0,54.89026,73.31677
nickel alloy durimet 20 (cast),20.92,5.74,460,3.643,8732.0,7920.0,48.99524,29.876465
strontium titanate + co (co 30),6.694,2.15,502,3.112,4565.0,6200.0,40.42212,60.003418
steel stainless series 400,23.43,7.01,431,3.34,8847.0,7750.0,46.381836,30.759521
iridium,146.44,50.2,130,2.925,20672.0,22500.0,20.622742,69.91516
potassium chloride (KCl 50),7.113,4.46,770,1.594,3367.0,2070.0,59.499084,53.13208
r410a,0.17,0.0921,1368,1.847,560.2,1350.0,47.28827,64.81555
radon gas,0.004,4.59,94,0.001,2.0,9.73,51.890503,38.237793
hafnium boride (HfB2),41.84,14.9,251,2.811,10845.0,11200.0,26.500427,42.13745
vermiculite insulating powder,0.121,0.54,837,0.226,166.0,270.0,52.374756,42.33252
zirconium alloys zircalloy 2 and 3,13.807,7.19,293,1.922,5151.0,6560.0,70.3111,59.35132
sillimanite brick (22 pc porosity),1.464,0.89,711,1.642,1551.0,2310.0,53.381042,59.235596
vermiculite insulating powder,0.121,0.54,837,0.226,166.0,270.0,52.374756,42.33252
hafnium nitride (HfN),11.715,5.16,209,2.268,5157.0,10850.0,44.3537,40.30481
pyroceram 9608 (glass ceramic),2.05,1.02,808,2.02,2034.0,2500.0,49.863403,63.976074
silver,426.77,172.0,236,2.478,32520.0,10500.0,60.55365,64.032715
beryllium alloy (Be96.5) (annealed),175.73,53.1,1799,3.31,24118.0,1840.0,54.616272,61.090576
tnt h.e. (2 4 6-trinitrotoluene) (cast),0.26,0.12,1372,2.127,744.0,1550.0,45.208435,67.64551
titanium carbide cermet k138a,26.359,8.65,544,3.046,8960.0,5600.0,51.461426,30.963501
acetal resin (delrin),0.23,0.11,1464,2.079,692.0,1420.0,45.826904,67.461914
niobium nitride (NbN),4.184,1.25,402,3.361,3748.0,8360.0,44.96405,60.125732
aluminum oxide + cr (Al2O3 70  cr 30),9.205,2.49,628,3.705,5838.0,5900.0,37.612366,64.14319
tungsten titanium carbide k86  k7h  k3h,28.033,6.71,377,4.185,10825.0,11100.0,38.653076,23.232788
nickel alloy nimonic 80,11.715,3.09,460,3.795,6669.0,8250.0,51.666016,44.61841
lead alloy (Pb50 Sn50) (solder),46.024,24.3,213,1.894,9344.0,8890.0,53.376343,54.34143
thorium boride (ThB6),43.095,10.1,628,4.27,13562.0,6800.0,40.383484,13.653687
nickel alloy monel s (cast),19.665,5.36,439,3.67,8498.0,8360.0,47.447327,31.490234
dolomite - calcium magnesium carbonate (CaMg(CO3)(avg prop),2.929,1.18,921,2.487,2698.0,2700.0,45.831482,67.52222
magnesium alloy bz33a(ac ah) (casting),100.42,53.5,1025,1.876,13725.0,1830.0,62.53241,63.41211
einsteinium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
titanium beryllide (tibe12) (hp 95d),23.849,7.62,1423,3.131,8641.0,2200.0,14.229797,77.92651
potassium bromide (KBr 75  KCl 25),2.092,1.72,477,1.216,1595.0,2550.0,54.358032,54.67505
titanium alloy ti140a (Fe2 Cr2 Mo2),11.715,4.87,523,2.406,5309.0,4600.0,77.22113,55.14441
calcium titanate (cao.tio2),4.602,1.54,728,2.985,3706.0,4100.0,50.302917,74.58948
hafnium carbide (HfC),29.288,12.3,188,2.369,8336.0,12600.0,29.683105,40.09668
iron grey cast pearlitic (4.12 c),79.496,24.0,460,3.307,16218.0,7190.0,37.125305,39.159668
acetone (propanone) (25 °C),0.1535,0.09128,2129,1.682,46.0,790.0,53.73059,61.740112
cobalt oxide (CoO),10.042,2.21,703,4.541,6753.0,6460.0,33.870422,61.610962
parafin oil,0.151,0.09,1970,1.576,488.0,800.0,52.618103,62.556152
dysprosium,10.042,6.78,173,1.48,3858.0,8556.0,56.18048,60.282837
molybdenum nitride (Mo2N),17.154,6.93,310,2.48,6518.0,8000.0,39.64679,49.954956
chrome magnesite brick,2.092,0.93,753,2.259,2174.0,3000.0,46.594604,64.5061
aluminum alloy (Al99.8 cast or tempd),209.2,88.2,879,2.373,22277.0,2700.0,63.913757,65.69763
brass aluminum (Cu76 Zn22 Al2),100.42,31.0,377,3.242,18034.0,8600.0,36.80548,45.948853
uranium beryllide (UBe13) (sntrd 61d),20.92,9.26,837,2.26,6875.0,2700.0,71.680664,47.30188
tungsten alloy (W75 Re25),64.852,24.6,134,2.64,13079.0,19700.0,35.21216,50.656372
butadiene-acrylonitrile rubber + c,0.418,0.22,1443,1.934,899.0,1340.0,46.84906,66.00842
beryllium oxide + Be + Mo (Be 7 Mo 7),158.99,51.5,1038,3.088,22158.0,2975.0,54.715027,61.139526
chromium silicide (CrSi2),7.95,3.22,494,2.47,4430.0,5000.0,70.44055,62.819946
bronze  tin (cast) high leaded,41.84,12.1,377,3.468,12040.0,9200.0,38.84027,22.095337
granite (avg prop),2.51,1.13,837,2.218,2359.0,2650.0,48.571716,65.22949
aluminum alloy (Al Mg 2.5-5.0),125.52,53.7,879,2.338,17127.0,2660.0,62.414,64.95447
cypress wood (across grain),0.096,0.09,2301,1.058,319.0,460.0,54.409058,59.35608
magnesium alloy az31b(p s) (wrought),83.68,47.1,1004,1.777,12195.0,1770.0,61.335632,59.836792
shale (avg prop),1.674,0.83,837,2.009,1833.0,2400.0,49.088013,64.39368
radon gas,0.004,4.59,94,0.001,2.0,9.73,51.890503,38.237793
barium nitrate (Ba(NO3)2) (prsd 8 k8),1.297,0.46,879,2.848,1921.0,3240.0,37.065857,70.7688
silicon carbide (SiC) (brick Al2O3 1.7),11.715,6.89,678,1.702,4464.0,2510.0,66.67615,54.09424
plutonium sulfide,9.623,3.95,230,2.436,4842.0,10590.0,43.934753,40.80432
tellurium,3.347,2.67,201,1.254,2048.0,6240.0,54.9339,59.50598
gadolinium oxide (Gd2O3) (monoc) (98 d),10.042,4.53,290,2.216,4717.0,7640.0,59.544617,60.779907
tungsten titanium carbide k2s,52.718,10.9,377,4.863,16003.0,12900.0,27.480408,20.514648
nickel oxide (nio) (polyxtal  88-100 d),12.97,3.36,603,3.859,7072.0,6400.0,43.290894,53.578613
uranium,26.443,11.8,117,2.235,7694.0,19100.0,46.094055,39.854248
potassium iodide (KI),2.887,3.02,305,0.955,1661.0,3130.0,55.52112,53.341675
zirconium oxide (ZrO2) (monoc.  100 d),1.849,0.73,456,2.535,2166.0,5560.0,50.07318,60.981323
titanium alloy c100m (rc130a) (mn7.9),10.878,4.54,523,2.395,5105.0,4580.0,76.65283,56.16931
germanium (intrinsic  p-type),58.576,34.1,322,1.715,10025.0,5325.0,95.3692,57.72168
cadmium,92.048,46.3,230,1.99,13535.0,8650.0,57.660156,61.19458
carbon amorphous (carbon stock),6.276,5.88,707,1.068,2589.0,1510.0,55.73706,49.76416
iron ni-resist type 3 (cast),39.33,11.6,460,3.404,11573.0,7400.0,47.959656,19.586426
chromium nitride (Cr2N),22.594,5.54,628,4.082,9601.0,6500.0,43.919983,37.87793
cobalt alloy he-1049,14.644,4.71,352,3.114,6748.0,8846.0,34.779236,44.457397
thorium carbide (ThC2) (69 pc dense),24.476,16.7,222,1.465,5986.0,6600.0,66.33411,63.12268
etbe (ethyl tert-butyl ether),0.14,0.0824,2207,1.699,487.7,770.0,54.616272,61.090576
iron grey cast pearlitic (2.3-3.0 c),41.84,12.6,460,3.307,11766.0,7190.0,47.76648,21.064087
copper alloy (Cu99.4  Al0.3 Zr0.27),217.57,64.9,377,3.355,27004.0,8900.0,54.840942,56.432617
nickel alloy monel  kr (annealed),18.828,5.07,439,3.71,8360.0,8450.0,47.583435,32.46045
lithium (liquid),42.258,19.7,4226,2.147,9525.0,508.0,16.39325,37.260498
nickel alloy monel weldable alloy,26.778,7.06,439,3.789,10076.0,8630.0,45.99646,23.205566
silicon carbide (SiC) (slf bnd he atm),167.36,79.7,678,2.102,18752.0,3100.0,64.958496,66.215454
titanium alloy (Ti Bal V15 Al2.8),8.368,3.31,527,2.53,4602.0,4800.0,71.63214,59.301636
beryllium alloy (Be96.5),142.26,43.0,1799,3.31,21700.0,1840.0,50.029663,62.678833
ethyl vinyl acetate,0.075,0.03,2301,2.761,456.0,1200.0,55.48755,65.83032
beryllium copper (Cu Bal Be 0.38-0.55),220.08,63.3,398,3.483,27667.0,8750.0,54.851562,56.211548
bronze  phospher 1.25 percent,205.02,61.2,377,3.355,26214.0,8900.0,54.828857,56.682617
