Material,Thermal Conductivity (W/m*K),Thermal Diffusivity (mm2/s),Specific Heat Capacity (J/kg*K),Volumetric Specific Heat (MJ/m³K),Thermal Effusivity (Ws0.5/(m2K)),Material Density (kg/m3),Durability (d),Price (c) ($/m^3)
ethyl cellulose (wide range of c  k),0.23,0.1,2092,2.406,744.0,1150.0,52.282593,64.107056
oregon pine wood (across grain),0.113,0.1,2301,1.174,364.0,510.0,54.51117,60.21057
nickel alloy hastelloy a (annealed),9.623,2.78,393,3.458,5771.0,8800.0,45.451477,48.91638
r12 (dichlorofluoromethane),0.07,0.0531,886,1.318,303.8,1488.0,52.99292,55.474365
aluminum (liquid),92.048,36.0,1084,2.558,15345.0,2360.0,56.208008,59.158813
magnesium alloy am100a (casting),58.576,31.6,1025,1.855,10425.0,1810.0,64.576294,54.350708
tantalum beryllide (TaBe12) (hp),41.84,13.2,774,3.173,11523.0,4100.0,48.533264,30.890503
obsidian glass,1.372,0.76,753,1.807,1575.0,2400.0,51.23877,62.403687
strontium titanate (SrO.TiO2) (80 d),2.594,1.21,536,2.144,2357.0,4000.0,51.493103,67.05444
alumina brick (Al2O3 83) (28 p),1.506,0.78,753,1.935,1707.0,2570.0,50.264893,63.715332
nickel alloy hastelloy c,10.46,3.04,385,3.442,5999.0,8940.0,43.436096,47.8573
hydrazine,0.57,0.1832,3080,3.111,1331.7,1010.0,47.61383,72.86914
diatomaceous earth brick (use to 850c),0.092,0.26,795,0.35,179.0,440.0,52.5448,43.755005
aluminum alloy (Al99.8 cast or tempd),209.2,88.2,879,2.373,22277.0,2700.0,63.913757,65.69763
polysulfone,0.259,0.17,1255,1.569,638.0,1250.0,50.19055,60.5885
plutonium nitride (PuN),13.807,5.15,188,2.679,6087.0,14250.0,35.819885,34.592407
uranium alloy (U95  Zr5),18.828,8.57,126,2.205,6430.0,17500.0,47.44232,36.522827
tin oxide (SnO2) (93-95 pc dense),31.38,16.5,343,1.907,7737.0,5560.0,93.26599,57.78711
magnesium alloy 1959 (Mg Ce4.33),129.7,72.6,1004,1.787,15225.0,1780.0,64.97101,66.08777
uranium oxide + mo (UO2 80 vol) (91 d),13.807,4.13,335,3.35,6798.0,10000.0,33.018494,45.66797
ethyl vinyl acetate,0.075,0.03,2301,2.761,456.0,1200.0,55.48755,65.83032
urea-formaldehyde alpha cellulose fllr,0.377,0.15,1674,2.511,972.0,1500.0,47.06903,66.62561
tantalum carbide (TaC),22.175,8.32,190,2.66,7688.0,14000.0,28.38562,36.83972
ytterbium boride (YbB6) (90.6 pc dense),25.104,8.0,628,3.14,8876.0,5000.0,49.59607,38.73535
yttrium boride (YB6) (98.4 pc dense),29.288,13.0,628,2.261,8135.0,3600.0,100.0,42.038452
tungsten titanium carbide km,59.831,12.3,377,4.863,17049.0,12900.0,24.586609,22.138062
magnesium alloy az80a (x frgd) (wrought),54.392,31.4,962,1.732,9706.0,1800.0,66.89935,51.75183
steel stainless series 300,14.644,3.65,502,4.016,7670.0,8000.0,52.132202,41.36743
iron ni-resist type 4 (cast),37.656,10.1,502,3.715,11828.0,7400.0,47.440735,15.869385
cobalt alloy k-42b,12.552,3.57,418,3.511,6642.0,8400.0,48.117126,42.506348
tungsten oxide (Wo3) (polyxtal. porous),25.104,11.3,310,2.22,7460.0,7160.0,48.901855,50.00354
iron oxide - magnatite (FeO.Fe2O3),5.021,1.48,653,3.396,4128.0,5200.0,34.292114,77.76221
potassium chloride (KCl 50),7.113,4.46,770,1.594,3367.0,2070.0,59.499084,53.13208
mock h.e. 90010 (pbx-9404 mech mock),0.532,0.24,1255,2.234,1090.0,1780.0,44.232605,68.32007
lanthanum,13.807,11.6,193,1.197,4059.0,6200.0,65.5094,61.400513
cork ground,0.043,0.14,2008,0.301,114.0,150.0,53.213318,49.350098
tungsten titanium carbide k81,42.677,9.77,377,4.373,13654.0,11600.0,34.56952,15.635132
sand northway (H2O 4-10) (avg prop),0.837,0.59,837,1.423,1091.0,1700.0,53.05713,56.660767
n-dodecane (25 °C),0.1353,0.082013,2212,1.65,39.0,746.0,54.616272,61.090576
nickel iron alloy invar (Fe64 Ni36),10.878,2.64,515,4.12,6692.0,8000.0,49.601807,48.09619
oil (mineral transformer oil),0.126,0.07,1860,1.637,454.0,880.0,51.422302,63.312622
polyvinyl carbazole,0.155,0.1,1297,1.53,487.0,1180.0,50.439087,60.12671
nickel oxide (NiO) (polyxtal  68-74 d),9.832,3.26,603,3.015,5442.0,5000.0,44.843628,66.67346
radon gas,0.004,4.59,94,0.001,2.0,9.73,51.890503,38.237793
potassium chromate (K2O.2CrO3) (m axis),1.715,0.7,921,2.468,2057.0,2680.0,42.615112,67.54285
polycarbonate various fillers,0.192,0.09,1674,2.26,660.0,1350.0,47.237366,66.50232
calcium boride (CaB6),39.162,12.7,1255,3.087,10996.0,2460.0,28.809875,58.807617
niobium carbide (NbC),33.472,12.4,356,2.706,9511.0,7600.0,38.778748,43.32605
zinc,111.71,40.2,389,2.777,17617.0,7140.0,52.09082,56.424194
silicon carbide (SiC) (frit bnd brick),46.024,25.2,678,1.831,9178.0,2700.0,87.472595,51.831055
nickel oxide (NiO) (polyxtal  68-74 d),9.832,3.26,603,3.015,5442.0,5000.0,44.843628,66.67346
mica (single crystal) (c axis),0.711,0.3,837,2.344,1291.0,2800.0,39.84381,65.9314
potassium aluminum silicate (orthoclase),4.184,1.28,1255,3.263,3695.0,2600.0,27.973938,81.8772
strontium sulfate (SrSO4) (crystal),1.799,0.78,586,2.321,2043.0,3960.0,44.884766,63.82556
nickel alloy monel h (cast),26.778,7.19,439,3.723,9988.0,8480.0,45.998535,23.549927
hydrogen,0.12,0.1943,8700,0.618,272.2,71.0,53.106262,38.808105
obsidian glass,1.372,0.76,753,1.807,1575.0,2400.0,51.23877,62.403687
nickel alloy inconel 702 (annealed),12.552,3.26,460,3.85,6953.0,8370.0,51.427612,42.937134
mock h.e. 90010 (pbx-9404 mech mock),0.532,0.24,1255,2.234,1090.0,1780.0,44.232605,68.32007
aluminum alloy (Al93.0 average trtmt),146.44,61.7,879,2.373,18638.0,2700.0,62.749573,65.12073
mica insulating powder,0.121,0.44,837,0.276,183.0,330.0,52.44635,42.93213
sandstone (high density),4.184,1.67,962,2.501,3235.0,2600.0,47.09143,67.98584
uranium carbide (UC2),33.472,12.6,234,2.644,9414.0,11300.0,27.447693,41.972412
cellulose nitrate (pyroxylin),0.23,0.11,1464,2.02,682.0,1380.0,46.118225,67.07532
magnesium alloy m1(x s) (wrought),142.26,78.9,1025,1.804,16020.0,1760.0,65.24896,66.3595
dandelion,7.699,2.86,418,2.688,4551.0,6430.0,43.414673,62.30957
niobium boride (NbB2) (pressed sntrd),16.736,5.88,418,2.842,6900.0,6800.0,43.82019,44.741943
nickel iron alloy invar (Fe64 Ni36),10.878,2.64,515,4.12,6692.0,8000.0,49.601807,48.09619
steatite - magnesium silicate (MgO.SiO2) (commercial grades),3.347,1.33,837,2.511,2899.0,3000.0,47.269653,66.40198
steel ultra high strength type 300-m,57.739,16.5,448,3.512,14236.0,7840.0,41.072388,18.840332
titanium carbide cermet k151a,22.594,7.16,544,3.155,8442.0,5800.0,48.99176,34.415283
hafnium,22.175,11.8,142,1.874,6454.0,13200.0,46.153137,41.90686
sand (dry) (avg prop),0.335,0.28,753,1.205,635.0,1600.0,53.70703,53.481567
magnesium alloy az81a (t4) (casting),54.392,30.1,1004,1.807,9914.0,1800.0,65.57715,52.858032
titanium carbide (TiC) (93 pc dense),16.318,6.29,569,2.595,6507.0,4560.0,76.94354,44.102783
egyptian firebrick (64-71 wt% SiO2),0.314,0.45,732,0.695,467.0,950.0,53.02533,47.77661
concrete lightweight,0.209,0.34,657,0.624,361.0,950.0,52.92981,46.977173
steel free cutting eutectoid,46.024,12.8,460,3.602,12878.0,7830.0,45.353638,14.156616
polyvinyl butyral,0.084,0.05,1674,1.841,393.0,1100.0,48.664673,65.4375
magnesite brick a (MgO 90) (14.5 p),4.937,1.92,837,2.578,3567.0,3080.0,54.90857,66.15869
brass red cast (Cu85 Zn5 Pb5 Sn3),71.965,21.8,377,3.299,15399.0,8750.0,34.487732,36.70862
thorium boride (ThB4),15.899,3.81,494,4.174,8144.0,8450.0,51.659424,38.666138
cellulose acetate butyrate (low k),0.167,0.1,1464,1.757,542.0,1200.0,48.157166,63.963135
cobalt alloy hs-25 (l-605) (wrought),9.205,2.61,385,3.523,5694.0,9150.0,45.161682,50.039673
cadmium (liquid),34.727,16.5,264,2.112,8558.0,8000.0,42.133057,49.022827
lead antimonial (Pb Sb 8-9),26.987,18.8,134,1.434,6218.0,10700.0,59.709717,63.04431
pyroceram 9606 (ceramic glass),3.975,1.95,782,2.033,2844.0,2600.0,52.367554,62.414917
magnesium alloy hm21a(o h24) (wrought),138.07,75.7,1025,1.825,15872.0,1780.0,65.0611,66.26636
iron  ductile (0.06 mg),33.472,9.79,460,3.418,10698.0,7430.0,48.43976,21.56372
r134a (tetrafluoroethane),0.1,0.0566,1280,1.766,420.3,1380.0,47.998657,63.6062
titanium oxide (TiOS2) (rutile  100 d),8.954,3.07,686,2.916,5110.0,4250.0,54.89026,73.31677
polyvinyl alcohol,0.795,0.51,1255,1.569,1117.0,1250.0,50.66687,60.248047
potassium chloride (KCl 50),7.113,4.46,770,1.594,3367.0,2070.0,59.499084,53.13208
steel stainless hh hl hk (cast),18.828,4.85,502,3.88,8548.0,7730.0,51.532227,32.997192
extruded polystyrene foam,0.029,0.773,1200,0.035,25.0,29.0,52.25006,41.28894
gasoline,0.151,0.09,2100,1.575,488.0,750.0,53.947876,61.58081
octane  (25 °C),0.12463,0.080089,2228,1.556,35.0,699.0,54.616272,61.090576
dysprosium,10.042,6.78,173,1.48,3858.0,8556.0,56.18048,60.282837
neoprene rubber,0.192,0.07,2176,2.72,724.0,1250.0,53.288025,65.98584
nickel alloy monel r (hot-rolled),25.941,6.68,439,3.881,10037.0,8840.0,46.185486,23.542969
dandelion,7.699,2.86,418,2.688,4551.0,6430.0,43.414673,62.30957
lithium manganese selenide (97mn.3li.-),2.803,1.32,385,2.118,2436.0,5500.0,57.86737,80.6698
rhenium,60.668,20.9,138,2.898,13264.0,21000.0,32.153564,48.480713
erbium,9.623,6.33,168,1.522,3825.0,9060.0,59.30011,56.457397
siliceous brick (SiO2 89  Al2O3 9),0.937,0.65,753,1.453,1167.0,1930.0,53.67401,56.651
strontium sulfate (SrSO4) (crystal),1.799,0.78,586,2.321,2043.0,3960.0,44.884766,63.82556
molybdenum alloy (Mo70 W30),123.01,61.6,201,1.998,15669.0,9940.0,57.724915,62.758667
beryllium alloy (Be96.5),142.26,43.0,1799,3.31,21700.0,1840.0,50.029663,62.678833
zirconium oxide (ZrO2 96  CaO 6  91 d),1.59,0.69,456,2.316,1919.0,5080.0,50.00226,72.446655
tungsten carbide cermet carboloy 883,100.42,32.1,209,3.125,17722.0,14950.0,19.8443,54.260254
beryllium oxide (BeO) (76 pc dens),138.07,57.4,1046,2.406,18225.0,2300.0,61.914978,64.707275
olive oil,0.171,0.09,1970,1.812,557.0,920.0,51.621338,63.286987
zinc (liquid),59.413,17.4,502,3.414,14243.0,6800.0,41.886047,19.998657
aluminum oxide (Al2O3) (polyxtal  55 d),17.573,10.3,778,1.712,5485.0,2200.0,69.13153,52.44336
polyvinyl tpx-r,0.167,0.09,2176,1.806,550.0,830.0,53.89801,61.61731
aluminum alloy (Al96.0 average trtmt),167.36,70.6,879,2.373,19925.0,2700.0,63.226196,65.35693
silicone foam  flexible (lrl),0.167,0.5,1339,0.335,237.0,250.0,52.702393,45.07373
cobalt,84.935,22.7,423,3.748,17833.0,8860.0,29.193298,36.63257
neodymium,12.97,9.43,197,1.379,4225.0,7000.0,60.341125,62.23535
pyrophyllite (parallel to bedding),4.77,2.04,837,2.344,3343.0,2800.0,52.067932,64.82678
dysprosium,10.042,6.78,173,1.48,3858.0,8556.0,56.18048,60.282837
berkelium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
Fibrous glass board (NIST 1450d),0.0325,0.2323,1093,0.14,67.0,128.0,52.354797,42.16565
zirconium carbide (ZrC) (hp or snt 94d),33.472,15.2,368,2.208,8599.0,6000.0,65.54248,52.923706
chloroform,0.13,0.0891,980,1.459,435.5,1489.0,51.589783,58.275024
titanium boride (TiB2) (hp  95 pc dens),25.104,8.72,669,2.877,8501.0,4300.0,66.32434,39.328613
beryllium alloy (Be96.5) (annealed),175.73,53.1,1799,3.31,24118.0,1840.0,54.616272,61.090576
zinc oxide (ZnO),27.196,9.78,494,2.781,8694.0,5630.0,57.025208,37.184326
zinc antimonide (ZnSb),2.343,1.37,272,1.714,2004.0,6300.0,58.72577,78.827515
cobalt silicide (cos),9.623,2.49,586,3.868,6100.0,6600.0,42.45929,57.51367
r134a (tetrafluoroethane),0.1,0.0566,1280,1.766,420.3,1380.0,47.998657,63.6062
niobium silicide (NbSi2),41.84,17.2,460,2.433,10092.0,5290.0,67.231995,44.549072
water (H2O) (liquid),0.60652,0.14548,4181,4.169,231.0,997.05,35.921875,86.29053
nickel alloy (Ni60 Cr16 Fe24),13.389,3.53,460,3.795,7130.0,8250.0,51.121704,41.20508
snow (packed),0.469,0.41,2092,1.151,734.0,550.0,54.352417,58.88257
zirconium nitride (ZrN) (pr sr 88-90 d),10.46,4.18,385,2.503,5116.0,6500.0,55.66693,61.232056
mock h.e. 90010 (pbx-9404 mech mock),0.532,0.24,1255,2.234,1090.0,1780.0,44.232605,68.32007
sandstone (low density),1.841,0.87,962,2.116,1974.0,2200.0,47.41156,65.55151
rubidium (liquid),29.288,51.6,385,0.568,4078.0,1475.0,61.05951,39.238525
promethium,12.552,9.26,188,1.354,4125.0,7200.0,59.979675,62.13208
uranium nitride (UN) (hp  95-98 dense),13.807,5.31,188,2.594,5990.0,13800.0,36.66931,35.076416
tantalum silicide (TaSi2),37.028,13.4,314,2.773,10129.0,8830.0,32.353638,41.062256
calcium fluoride (CaF2) (single xtal),9.623,2.59,1167,3.711,5976.0,3180.0,16.85907,86.161865
lx-04 h.e. (hmx 85  viton a 15),0.448,0.23,1023,1.913,925.0,1870.0,47.174988,65.23889
boride z cermet (ZrB2 81-87  MoSi2 13),20.92,8.01,502,2.61,7391.0,5200.0,68.8999,42.098755
magnesium alloy za(ac) (casting),146.44,81.6,1025,1.794,16207.0,1750.0,65.3869,66.427734
sodium chloride (NaCl) (clear crystal),8.159,4.33,870,1.884,3921.0,2165.0,57.673096,56.520264
steel ultra high strength type 300-m,57.739,16.5,448,3.512,14236.0,7840.0,41.072388,18.840332
nickel alloy chlorimet 3,12.552,3.65,385,3.442,6572.0,8940.0,42.682312,44.54883
allyl cast resins (high heat capacity),0.205,0.07,2343,3.046,790.0,1300.0,53.547546,67.97424
zilloy 15,104.6,36.3,402,2.886,17369.0,7180.0,49.91797,52.409546
beryllium copper (Cu Bal Be 0.38-0.55),220.08,63.3,398,3.483,27667.0,8750.0,54.851562,56.211548
lithium cobalt nickel oxide(46NiO.46CoO.8LiO),3.598,0.74,753,4.895,4197.0,6500.0,29.40924,71.34973
manganese selenide (97mnse.3lise),2.803,1.32,385,2.118,2436.0,5500.0,57.86737,80.6698
titanium carbide cermet k151a,22.594,7.16,544,3.155,8442.0,5800.0,48.99176,34.415283
tantalum boride (TaB),117.15,46.3,209,2.529,17220.0,12100.0,42.497314,63.651
aluminum alloy (Al96.5 cast or tempd),146.44,61.7,879,2.373,18638.0,2700.0,62.749573,65.12073
abs resin (high k),0.209,0.13,1506,1.566,572.0,1040.0,50.2688,61.506226
copper wrought,376.56,112.0,377,3.355,35526.0,8900.0,54.616272,61.090576
potassium (liquid),62.342,92.7,820,0.672,6475.0,820.0,53.97888,30.724731
polystyrene foam,0.026,0.5,1130,0.052,37.0,46.0,52.24939,41.283203
germanium (n-type),58.576,34.1,322,1.715,10025.0,5325.0,95.3692,57.72168
brass red cast (Cu85 Zn5 Pb5 Sn3),71.965,21.8,377,3.299,15399.0,8750.0,34.487732,36.70862
steel stainless 201 and 202,16.318,4.22,502,3.865,7943.0,7700.0,51.647583,37.574707
rock or stone (average properties),1.757,0.81,837,2.176,1955.0,2600.0,47.42914,65.321655
carbon graphite (typical k),167.36,105.0,707,1.591,16318.0,2250.0,65.975525,63.776733
beryllium oxide + Be + Mo (Be 7 Mo 7),158.99,51.5,1038,3.088,22158.0,2975.0,54.715027,61.139526
granite (high k),3.975,1.79,837,2.218,2969.0,2650.0,50.83899,64.283936
aluminum oxide foam (Al2O3),5.23,3.54,778,1.478,2781.0,1900.0,58.059937,53.067993
titanium alloy (Ti Bal  Al8  Mo1  v1),5.858,2.46,544,2.377,3731.0,4370.0,66.52557,59.93689
cerium oxide (CeO2),11.715,5.46,352,2.147,5012.0,6100.0,72.07068,62.9104
thallium (liquid),24.686,14.5,151,1.705,6479.0,11290.0,50.02942,50.265625
kaolin brick,0.251,0.75,774,0.333,289.0,430.0,52.51068,43.46985
magnesium alloy a8(ac or st) (casting),83.68,45.1,1025,1.855,12460.0,1810.0,61.331116,60.92163
yttrium boride (YB6) (98.4 pc dense),29.288,13.0,628,2.261,8135.0,3600.0,100.0,42.038452
titanium alloy (Ti Bal  Sn4.8  Al4.5),7.531,3.2,523,2.354,4210.0,4500.0,72.077576,60.187256
magnesite brick (MgO 87),3.849,1.82,837,2.118,2855.0,2530.0,51.071167,63.30945
titanium alloy imi 680 (Sn11  Mo4  Al2),7.113,3.05,481,2.328,4070.0,4840.0,70.86627,64.98486
polystyrene foamed-in-place  (rigid),0.035,0.31,1130,0.113,63.0,100.0,52.332825,41.981934
iron grey cast pearlitic (3.7-3.8 c),66.944,20.2,460,3.307,14883.0,7190.0,40.50702,28.985718
soda plate glass,1.213,0.65,753,1.883,1511.0,2500.0,50.173767,63.687378
nickel alloy durimet 20 (cast),20.92,5.74,460,3.643,8732.0,7920.0,48.99524,29.876465
potassium chloride (KCl),8.368,6.16,686,1.358,3372.0,1980.0,58.70288,51.05078
magnesium alloy bz33a(ac ah) (casting),100.42,53.5,1025,1.876,13725.0,1830.0,62.53241,63.41211
beryllium carbide (Be2C) (hp or snt),23.43,7.84,1423,2.988,8368.0,2100.0,16.530396,76.5509
silicon carbide (SiC) (nitride bonded),41.84,23.2,678,1.803,8685.0,2660.0,87.13611,52.558838
titanium,20.92,8.89,523,2.354,7017.0,4500.0,86.97821,45.1687
nickel alloy (Ni60 Cr16 Fe24),13.389,3.53,460,3.795,7130.0,8250.0,51.121704,41.20508
magnesium oxide (MgO) (polyxtal 100 d),61.923,18.8,921,3.297,14285.0,3580.0,28.138489,33.377808
limestone (H2O 15.3),0.92,0.61,921,1.52,1182.0,1650.0,51.82367,58.704712
lead (liquid),16.318,10.2,151,1.601,5104.0,10600.0,57.823425,53.04956
cobalt alloy (Co64 Cr30 W6),12.552,3.56,418,3.528,6658.0,8440.0,48.128906,42.513306
flint glass,0.753,0.63,502,1.205,953.0,2400.0,53.85321,54.704224
brick masonry medium,0.711,0.43,837,1.674,1091.0,2000.0,50.564087,61.379272
titanium alloy (Ti Bal  Al5  Sn2.5),7.113,2.92,544,2.437,4163.0,4480.0,69.56287,59.62036
allyl cast resins (high heat capacity),0.205,0.07,2343,3.046,790.0,1300.0,53.547546,67.97424
strontium titanate + co (co 30),6.694,2.15,502,3.112,4565.0,6200.0,40.42212,60.003418
nickel alloy monel  h (as cast),20.92,5.62,439,3.723,8828.0,8480.0,47.172302,29.809814
teflon,0.251,0.12,1004,2.179,740.0,2170.0,44.307007,67.43176
brass cartridge (Cu70 Zn30),100.42,28.0,418,3.582,18976.0,8570.0,31.12091,43.396362
n-hexadecane (cetane)  (25 °C),0.14385,0.08444,2212,1.703,42.0,770.0,54.568115,61.125854
calcium oxide (CaO) (pressed  91 dens),13.807,6.05,753,2.282,5613.0,3030.0,73.255554,55.16919
vanadium,30.794,11.0,460,2.806,9298.0,6100.0,48.98645,38.03894
tantalum carbide + wc cermet k601,66.944,20.9,209,3.198,14638.0,15300.0,20.122375,50.488037
yttrium oxide (Y2O3) (96-100 pc dense),14.226,6.36,448,2.24,5643.0,5000.0,77.60669,54.845215
mock h.e. lm-04-0 h7-048-a522.1,0.527,0.28,1109,1.885,997.0,1700.0,47.561584,64.61218
quartz powder coarse (H2O 24),1.13,0.38,1590,2.973,1833.0,1870.0,42.779602,70.08325
magnesium alloy pe (wrought),108.78,60.3,1025,1.804,14009.0,1760.0,63.36731,63.555664
sodium chlorate (NaClO3) (crystal),1.13,0.49,921,2.293,1609.0,2490.0,42.921875,66.64966
manganese telluride (95mnte.5mnas),1.255,0.55,402,2.291,1695.0,5700.0,56.14337,70.28894
isooctane (25 °C),0.09461,0.06577,2091,1.439,24.0,688.0,54.322327,61.296753
calcium titanate (cao.tio2),4.602,1.54,728,2.985,3706.0,4100.0,50.302917,74.58948
zinc ferrite (ZnO.Fe2O3),4.017,1.29,586,3.123,3541.0,5330.0,37.10144,70.37512
polyvinyl chloride rigid,0.251,0.18,1004,1.406,594.0,1400.0,52.205627,57.267212
steel  stainless cf (cast),16.108,4.14,502,3.891,7917.0,7750.0,51.769287,38.020386
chrome-nickel-iron superalloys,23.43,6.67,439,3.512,9074.0,8000.0,47.175964,28.079956
bronze manganese,104.6,33.2,377,3.152,18147.0,8360.0,40.266235,48.012695
copper,397.48,116.0,385,3.442,36983.0,8940.0,54.616272,61.090576
thorium carbide (ThC2) (69 pc dense),24.476,16.7,222,1.465,5986.0,6600.0,66.33411,63.12268
pyrophyllite (perpend. to bedding),2.427,1.04,837,2.344,2385.0,2800.0,46.10785,65.519775
silicon carbide (SiC) (frit bnd brick),46.024,25.2,678,1.831,9178.0,2700.0,87.472595,51.831055
barium boride (BaB6),44.769,8.22,1255,5.447,15615.0,4340.0,0.26519775,66.26172
potassium chloride (KCl 50),7.113,4.46,770,1.594,3367.0,2070.0,59.499084,53.13208
plutonium,8.201,3.19,134,2.573,4592.0,19200.0,53.23047,29.882324
steel high speed (m1  m10  m-2  ti),35.564,9.42,460,3.772,11585.0,8200.0,46.30139,16.13379
fermium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
aluminum alloy 2024-5-t4 (annealed),175.73,75.5,837,2.327,20219.0,2780.0,63.768738,65.625854
zirconium boride (ZrB2) (hp  97 pc den),25.104,10.2,418,2.466,7872.0,5900.0,57.775208,49.000854
krypton (gas),0.009,99.9,247,0.0,1.0,0.3733,53.214172,14.265747
silicon carbide (SiC) (carbofrax brick),21.757,11.9,678,1.831,6310.0,2700.0,76.74963,54.35254
zinc antimonide (ZnSb),2.343,1.37,272,1.714,2004.0,6300.0,58.72577,78.827515
lutetium,10.46,7.05,151,1.487,3939.0,9850.0,61.584717,54.07251
steel stainless hh hl hk (cast),18.828,4.85,502,3.88,8548.0,7730.0,51.532227,32.997192
granite (low k),1.715,0.77,837,2.218,1950.0,2650.0,46.161865,65.30676
nickel zinc ferrite (Ni(Zn)O.Fe2O3),3.724,1.31,607,2.853,3259.0,4700.0,51.865723,64.79907
tantalum alloy (Ta62 Nb30 V7.5),27.196,20.1,117,1.351,6067.0,11550.0,60.33728,61.03125
nitric acid,0.29,0.096,2000,3.02,935.9,1510.0,50.48651,68.91101
steel stainless ck ch hi (cast),14.226,3.67,502,3.88,7431.0,7730.0,51.64679,42.16919
zirconium hydride (ZrH + ZrH2),18.41,9.44,310,1.953,5992.0,6300.0,72.41516,54.922974
magnesium alloy zh42 (casting),112.97,63.1,962,1.789,14220.0,1860.0,64.00885,63.55249
nickel alloy calite n,13.807,3.65,460,3.781,7227.0,8220.0,50.982666,40.380005
silicone  molded  various fillers,0.167,0.09,1046,1.883,561.0,1800.0,47.15271,65.150024
hematite (Fe2O3),12.552,3.82,628,3.291,6425.0,5240.0,34.52295,62.355835
zirconium hydride (ZrH + ZrH2),18.41,9.44,310,1.953,5992.0,6300.0,72.41516,54.922974
copper alloy constantan (Cu55 Ni45),22.175,6.28,398,3.538,8852.0,8890.0,42.412292,30.818237
magnesium alloy m1(ac) (casting),129.7,71.9,1025,1.804,15296.0,1760.0,64.89087,66.181885
quartz crystal (silicon oxide) a axis (SiO2),6.485,3.25,753,1.995,3598.0,2650.0,55.92505,59.9209
steel stainless 17-4ph,14.644,5.65,335,2.596,6163.0,7750.0,39.123352,51.333862
titanium carbide cermet k164b,20.083,5.6,544,3.59,8491.0,6600.0,48.759216,35.75757
uranium alloy (U82 Zr18),10.878,4.61,167,2.355,5067.0,14100.0,45.205444,34.87256
indium arsenide (inas) (pure s-doped),26.778,17.8,251,1.506,6350.0,6000.0,68.1626,63.049683
niobium alloy (Nb80 W15 Mo5),50.208,21.2,247,2.371,10909.0,9600.0,34.102783,44.33252
tin (liquid),33.472,20.1,243,1.665,7460.0,6850.0,78.13837,61.415894
uranium alloy mulberry,10.46,4.33,146,2.409,5027.0,16500.0,48.12195,32.925293
mullite (3Al2O3.2SiO2) (100 pc dense),6.276,2.56,766,2.451,3921.0,3200.0,62.640564,63.105347
concrete cinder,0.335,0.32,657,1.051,593.0,1600.0,53.527527,51.97876
silicon carbide (SiC) (refractory d-30),41.84,22.9,678,1.831,8750.0,2700.0,88.929504,52.095215
ethylene glycol (25 °C),0.2516,0.093989,2412,2.677,77.0,1109.9,59.10663,64.724365
ytterbium,8.368,8.05,149,1.043,2949.0,7000.0,61.97052,60.213013
methanol (25 °C),0.20021,0.10046,2534,1.993,63.0,786.0,57.029663,63.04358
brass  yellow (Cu65  Zn35),117.15,36.7,377,3.193,19331.0,8470.0,41.734253,50.56848
boron nitride (Bn 80 C 20) (prs axis),19.037,14.8,795,1.288,4952.0,1620.0,66.49756,49.626953
nickel alloy nimonic 90,12.552,3.53,431,3.556,6681.0,8250.0,49.3338,42.41504
sulfur dioxide (SO2) (gas),0.009,5.08,636,0.002,4.0,2.927,51.910706,38.449707
niobium beryllide (Nb2Be17),31.38,10.7,921,2.947,9614.0,3200.0,49.458496,52.828003
cobalt alloy he-1049,14.644,4.71,352,3.114,6748.0,8846.0,34.779236,44.457397
white fir wood (across grain),0.109,0.11,2301,1.035,336.0,450.0,54.384094,59.147095
hydrogen,0.12,0.1943,8700,0.618,272.2,71.0,53.106262,38.808105
silicon carbide (SiC) (refractory d-30),41.84,22.9,678,1.831,8750.0,2700.0,88.929504,52.095215
iron (-273 to 763 deg c),71.965,20.4,448,3.526,15924.0,7870.0,36.135498,29.592651
nickel alloy hastelloy b,10.46,2.97,381,3.52,6066.0,9240.0,43.828064,48.08081
polyester glass fiber reinforced  tac,0.176,0.13,1130,1.39,494.0,1230.0,52.07007,57.25659
polyvinylidene chloride,0.126,0.06,1339,2.276,535.0,1700.0,43.987427,68.60474
rubber natural foam,0.042,0.2,2092,0.209,94.0,100.0,53.170715,48.993042
plutonium nitride (PuN),13.807,5.15,188,2.679,6087.0,14250.0,35.819885,34.592407
teak wood (across grain),0.172,0.12,2301,1.473,503.0,640.0,54.616272,61.090576
gadolinium boride (GdB6) (95.6 pc dens),20.502,6.53,628,3.14,8021.0,5000.0,45.93219,46.597168
strontium titanate (SrO.TiO2) (80 d),2.594,1.21,536,2.144,2357.0,4000.0,51.493103,67.05444
magnesium alloy za(ac) (casting),146.44,81.6,1025,1.794,16207.0,1750.0,65.3869,66.427734
chromium carbide + ni (Cr(x)C(y) Ni),11.297,3.36,502,3.363,6165.0,6700.0,47.40143,48.425293
molybdenum alloy (Mo99.5 Ti0.5),117.15,45.0,255,2.601,17463.0,10200.0,48.73584,60.429688
plutonium phosphide (PuP) (90 pc dense),5.439,2.39,230,2.275,3518.0,9890.0,56.151062,45.284912
iron grey cast ferritic (3.2-3.8 c),71.128,21.5,460,3.307,15341.0,7190.0,39.30298,32.400513
